danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,genre
0.556,0.918,-5.229,0.0543,0.807,0.237,0.514,128.006,progressivehouse
0.492,0.728,-7.399,0.046,1.49e-05,0.181,0.188,130.017,progressivehouse
0.407,0.658,-6.552,0.0505,1.76e-05,0.102,0.181,123.753,progressivehouse
0.585,0.856,-5.647,0.0584,1.34e-05,0.0629,0.165,128.054,progressivehouse
0.578,0.786,-4.496,0.0383,0.000238,0.17,0.326,128.001,progressivehouse
0.66,0.699,-3.476,0.0399,0.0,0.535,0.216,128.022,progressivehouse
0.455,0.833,-2.411,0.134,6.18e-05,0.358,0.324,127.921,progressivehouse
0.596,0.942,-3.04,0.0813,0.000158,0.819,0.329,129.941,progressivehouse
0.494,0.778,-5.983,0.045,0.000951,0.0533,0.146,127.986,progressivehouse
0.495,0.863,-4.476,0.0556,0.0,0.208,0.298,128.024,progressivehouse
0.686,0.964,-2.692,0.0611,0.0539,0.0876,0.41,127.941,progressivehouse
0.607,0.843,-5.824,0.0424,0.000139,0.0777,0.246,127.995,progressivehouse
0.488,0.612,-5.119,0.0317,0.0,0.242,0.176,127.879,progressivehouse
0.547,0.878,-4.245,0.0485,0.344,0.336,0.405,128.018,progressivehouse
0.518,0.829,-3.322,0.0414,5.57e-06,0.13,0.149,125.991,progressivehouse
0.675,0.867,-5.434,0.0685,0.0419,0.69,0.402,129.985,progressivehouse
0.441,0.899,-4.304,0.0629,6.46e-05,0.669,0.621,128.031,progressivehouse
0.57,0.923,-4.104,0.0465,2.09e-06,0.259,0.265,127.015,progressivehouse
0.519,0.754,-5.689,0.0402,3.75e-06,0.139,0.16,125.975,progressivehouse
0.589,0.935,-5.368,0.0563,0.142,0.156,0.224,128.001,progressivehouse
0.585,0.77,-4.604,0.0396,5.6e-06,0.0692,0.393,122.987,progressivehouse
0.588,0.83,-4.284,0.0429,1.53e-05,0.135,0.512,128.013,progressivehouse
0.534,0.765,-3.151,0.0338,0.00107,0.225,0.117,127.978,progressivehouse
0.501,0.887,-3.941,0.0424,2.64e-05,0.114,0.336,123.052,progressivehouse
0.581,0.794,-4.796,0.0531,0.0,0.0983,0.529,125.014,progressivehouse
0.608,0.91,-5.3,0.0714,0.0751,0.911,0.0842,127.975,progressivehouse
0.628,0.978,-3.739,0.0771,0.0336,0.0494,0.453,127.04,progressivehouse
0.621,0.685,-4.787,0.0565,0.87,0.559,0.398,129.951,progressivehouse
0.626,0.961,-3.587,0.0687,0.0024,0.684,0.668,128.01,progressivehouse
0.641,0.837,-4.028,0.147,0.0453,0.247,0.526,127.95,progressivehouse
0.484,0.812,-4.758,0.0468,0.0,0.174,0.473,127.006,progressivehouse
0.579,0.797,-3.857,0.0637,6.77e-05,0.355,0.205,127.978,progressivehouse
0.572,0.886,-5.517,0.0862,0.0,0.265,0.151,127.972,progressivehouse
0.617,0.871,-6.117,0.0736,0.000761,0.266,0.0868,125.983,progressivehouse
0.598,0.9,-3.37,0.103,0.0,0.0636,0.435,128.046,progressivehouse
0.538,0.897,-6.412,0.0503,1.26e-06,0.16,0.153,127.982,progressivehouse
0.402,0.891,-3.047,0.102,1.54e-05,0.172,0.475,128.016,progressivehouse
0.54,0.679,-5.216,0.0313,1.05e-05,0.107,0.158,128.004,progressivehouse
0.479,0.694,-6.566,0.0414,5.35e-05,0.255,0.323,130.009,progressivehouse
0.641,0.924,-2.004,0.0481,4.06e-05,0.0885,0.53,128.01,progressivehouse
0.515,0.881,-4.048,0.058,1.32e-06,0.123,0.253,127.992,progressivehouse
0.49,0.72,-3.797,0.0351,0.0,0.121,0.428,125.993,progressivehouse
0.793,0.877,-2.898,0.227,0.000172,0.111,0.437,127.984,progressivehouse
0.599,0.811,-5.816,0.0692,6.95e-05,0.18,0.199,127.99,progressivehouse
0.471,0.762,-2.646,0.0468,0.0,0.489,0.343,128.12,progressivehouse
0.454,0.768,-5.716,0.0509,1.54e-06,0.0943,0.0794,128.041,progressivehouse
0.432,0.656,-4.201,0.0453,4.28e-06,0.126,0.164,124.738,progressivehouse
0.574,0.911,-2.832,0.075,3.34e-06,0.758,0.648,126.019,progressivehouse
0.482,0.775,-4.656,0.0362,0.0,0.149,0.296,127.851,progressivehouse
0.478,0.722,-6.893,0.0458,0.00831,0.114,0.287,127.977,progressivehouse
0.533,0.936,-4.626,0.0447,0.721,0.0622,0.421,128.018,progressivehouse
0.612,0.643,-7.67,0.0624,0.0112,0.156,0.0915,128.032,progressivehouse
0.655,0.902,-4.118,0.0429,0.149,0.273,0.315,128.024,progressivehouse
0.652,0.879,-3.722,0.0588,3.67e-06,0.0893,0.468,128.052,progressivehouse
0.54,0.751,-3.4,0.0293,0.000522,0.108,0.364,128.005,progressivehouse
0.508,0.875,-4.466,0.0379,0.000782,0.194,0.179,126.017,progressivehouse
0.592,0.873,-5.65,0.0275,0.00982,0.142,0.516,122.011,progressivehouse
0.557,0.68,-4.857,0.0436,0.0,0.574,0.306,128.002,progressivehouse
0.637,0.827,-5.153,0.0629,0.103,0.575,0.339,128.025,progressivehouse
0.567,0.772,-4.261,0.0582,3.25e-05,0.254,0.11,128.073,progressivehouse
0.587,0.85,-3.904,0.0654,0.0,0.64,0.528,127.914,progressivehouse
0.572,0.828,-3.319,0.0432,0.243,0.137,0.0398,127.964,progressivehouse
0.497,0.885,-6.906,0.051,0.743,0.653,0.406,126.041,progressivehouse
0.517,0.716,-4.012,0.0369,0.0,0.127,0.354,128.064,progressivehouse
0.588,0.936,-4.664,0.0491,7.61e-05,0.152,0.582,127.959,progressivehouse
0.41,0.789,-4.287,0.0445,0.0,0.389,0.197,128.092,progressivehouse
0.543,0.867,-4.394,0.056,0.00021,0.2,0.316,128.017,progressivehouse
0.594,0.722,-5.751,0.0398,0.0,0.0667,0.407,127.877,progressivehouse
0.546,0.917,-3.603,0.0461,0.0,0.564,0.163,127.995,progressivehouse
0.45,0.948,-2.163,0.0999,0.0,0.278,0.243,128.065,progressivehouse
0.669,0.856,-4.699,0.067,0.000193,0.0725,0.226,127.99,progressivehouse
0.524,0.662,-5.083,0.0481,0.0,0.126,0.173,126.993,progressivehouse
0.636,0.82,-3.655,0.0908,1.81e-05,0.0971,0.399,127.082,progressivehouse
0.508,0.572,-5.898,0.0575,0.0,0.0982,0.134,128.121,progressivehouse
0.546,0.884,-4.23,0.0488,0.0,0.214,0.188,128.022,progressivehouse
0.562,0.845,-4.051,0.0595,2.31e-05,0.476,0.293,128.034,progressivehouse
0.544,0.811,-2.271,0.0515,0.0,0.121,0.188,129.011,progressivehouse
0.509,0.729,-4.773,0.0343,2.73e-05,0.233,0.196,127.871,progressivehouse
0.551,0.902,-4.501,0.0547,0.0245,0.152,0.198,128.001,progressivehouse
0.506,0.737,-3.453,0.0398,4.4e-06,0.2,0.0952,127.68,progressivehouse
0.573,0.847,-4.903,0.0534,0.0293,0.478,0.19,127.978,progressivehouse
0.451,0.786,-4.309,0.0511,0.0,0.035,0.327,128.11,progressivehouse
0.656,0.662,-9.345,0.0307,0.886,0.104,0.0712,128.022,progressivehouse
0.602,0.732,-4.785,0.0474,0.0858,0.677,0.237,128.005,progressivehouse
0.78,0.761,-7.812,0.106,0.535,0.134,0.165,127.009,progressivehouse
0.623,0.838,-5.177,0.0445,0.0103,0.679,0.11,127.984,progressivehouse
0.59,0.865,-6.248,0.0408,0.00457,0.0914,0.137,128.062,progressivehouse
0.597,0.609,-6.833,0.0511,0.00136,0.63,0.39,128.022,progressivehouse
0.608,0.593,-6.237,0.0385,0.0502,0.0959,0.166,127.979,progressivehouse
0.409,0.921,-3.238,0.0777,0.0,0.0588,0.138,128.016,progressivehouse
0.453,0.879,-2.849,0.0806,0.0,0.581,0.305,127.945,progressivehouse
0.404,0.756,-8.148,0.063,0.0103,0.288,0.151,127.904,progressivehouse
0.726,0.752,-7.401,0.0931,0.145,0.201,0.174,128.035,progressivehouse
0.462,0.748,-3.746,0.0386,0.00134,0.688,0.179,128.022,progressivehouse
0.416,0.848,-4.688,0.0596,0.0172,0.105,0.165,127.905,progressivehouse
0.428,0.89,-2.275,0.0495,0.0,0.138,0.223,128.031,progressivehouse
0.519,0.731,-5.009,0.0504,1.33e-05,0.784,0.301,128.066,progressivehouse
0.461,0.736,-2.379,0.0338,0.0,0.163,0.212,127.957,progressivehouse
0.548,0.895,-2.794,0.0392,0.0184,0.108,0.616,127.829,progressivehouse
0.58,0.926,-3.168,0.0558,0.0167,0.124,0.177,127.753,progressivehouse
0.715,0.953,-2.099,0.148,0.000351,0.698,0.078,127.99,progressivehouse
0.536,0.979,-4.181,0.168,0.0514,0.788,0.0525,128.061,progressivehouse
0.507,0.887,-4.084,0.141,0.0,0.562,0.336,128.015,progressivehouse
0.519,0.865,-3.979,0.0637,8.93e-05,0.459,0.276,127.917,progressivehouse
0.518,0.911,-3.649,0.086,0.0,0.516,0.126,128.014,progressivehouse
0.419,0.783,-3.968,0.107,1.35e-05,0.131,0.313,128.028,progressivehouse
0.588,0.797,-5.195,0.0466,0.000752,0.198,0.32,126.023,progressivehouse
0.441,0.673,-4.267,0.0355,0.0,0.688,0.421,128.024,progressivehouse
0.534,0.963,-3.768,0.0887,0.0191,0.231,0.175,127.974,progressivehouse
0.472,0.876,-3.238,0.0348,2.85e-06,0.244,0.253,128.12,progressivehouse
0.583,0.908,-2.219,0.0941,0.0,0.338,0.331,127.937,progressivehouse
0.499,0.862,-4.844,0.0613,3.22e-06,0.21,0.338,128.013,progressivehouse
0.582,0.827,-5.053,0.0394,0.000451,0.125,0.188,127.956,progressivehouse
0.634,0.632,-4.52,0.0313,0.000453,0.116,0.449,128.075,progressivehouse
0.542,0.823,-4.173,0.0379,6.85e-06,0.126,0.164,127.027,progressivehouse
0.609,0.903,-3.797,0.0537,0.000296,0.22,0.37,128.016,progressivehouse
0.532,0.783,-5.697,0.0523,0.0012,0.161,0.643,124.08,progressivehouse
0.623,0.59,-4.47,0.031,0.0,0.0601,0.226,128.075,progressivehouse
0.589,0.646,-6.782,0.0611,0.0,0.0924,0.528,126.303,progressivehouse
0.567,0.877,-3.214,0.0314,0.000342,0.0992,0.341,125.007,progressivehouse
0.661,0.828,-5.149,0.0569,9.39e-06,0.172,0.424,127.963,progressivehouse
0.699,0.967,-4.607,0.137,0.000206,0.194,0.0619,128.979,progressivehouse
0.569,0.764,-4.446,0.0458,0.0,0.51,0.283,127.985,progressivehouse
0.654,0.77,-4.732,0.0303,0.29,0.718,0.117,128.042,progressivehouse
0.503,0.909,-3.223,0.084,0.0,0.119,0.229,127.969,progressivehouse
0.549,0.86,-5.622,0.061,0.208,0.186,0.581,128.07,progressivehouse
0.536,0.881,-3.102,0.0388,0.0,0.104,0.215,127.958,progressivehouse
0.469,0.788,-3.761,0.083,0.0,0.343,0.389,127.771,progressivehouse
0.57,0.914,-1.934,0.0681,0.0,0.236,0.529,127.98,progressivehouse
0.59,0.798,-3.772,0.0482,0.0755,0.0804,0.223,128.009,progressivehouse
0.62,0.802,-5.534,0.06,0.0936,0.403,0.586,128.005,progressivehouse
0.568,0.894,-4.006,0.143,0.0,0.215,0.389,128.018,progressivehouse
0.55,0.861,-6.526,0.0402,0.00143,0.107,0.37,127.987,progressivehouse
0.565,0.898,-6.573,0.0358,0.698,0.322,0.381,127.988,progressivehouse
0.44,0.635,-6.385,0.0326,0.0,0.121,0.327,128.133,progressivehouse
0.533,0.849,-7.148,0.036,0.00232,0.379,0.281,126.944,progressivehouse
0.509,0.733,-6.127,0.0569,2.2e-06,0.358,0.316,128.021,progressivehouse
0.626,0.851,-3.185,0.0654,0.0345,0.0797,0.509,128.016,progressivehouse
0.563,0.896,-2.394,0.0425,1.89e-05,0.103,0.187,128.028,progressivehouse
0.603,0.676,-3.697,0.0395,0.0,0.0466,0.324,125.064,progressivehouse
0.486,0.898,-2.461,0.142,6.43e-06,0.101,0.352,127.818,progressivehouse
0.548,0.904,-4.712,0.129,0.0,0.399,0.373,128.11,progressivehouse
0.66,0.677,-2.778,0.0301,0.738,0.0589,0.242,128.053,progressivehouse
0.589,0.715,-4.884,0.0572,0.0,0.434,0.321,128.035,progressivehouse
0.262,0.811,-4.454,0.0616,0.000155,0.224,0.162,127.571,progressivehouse
0.628,0.915,-3.671,0.0745,0.0025,0.0873,0.481,127.984,progressivehouse
0.598,0.966,-2.682,0.0571,0.0162,0.348,0.422,128.006,progressivehouse
0.659,0.619,-7.389,0.05,0.972,0.0897,0.119,128.015,progressivehouse
0.578,0.8,-6.519,0.0572,0.00989,0.11,0.457,127.931,progressivehouse
0.465,0.908,-2.577,0.0571,0.00129,0.288,0.128,128.045,progressivehouse
0.522,0.786,-4.462,0.042,0.00427,0.375,0.4,128.041,progressivehouse
0.628,0.833,-4.126,0.0282,1.48e-05,0.074,0.56,128.003,progressivehouse
0.471,0.669,-6.115,0.0602,7.7e-05,0.301,0.248,127.983,progressivehouse
0.471,0.921,-5.109,0.0816,0.00183,0.636,0.151,132.074,progressivehouse
0.652,0.855,-4.832,0.0441,0.0,0.0404,0.279,134.009,progressivehouse
0.642,0.805,-7.219,0.0488,0.269,0.143,0.168,126.994,progressivehouse
0.588,0.865,-6.492,0.0358,0.796,0.108,0.528,128.014,progressivehouse
0.647,0.893,-5.632,0.104,0.28,0.167,0.0804,130.014,progressivehouse
0.619,0.906,-4.183,0.0396,0.156,0.0782,0.557,125.981,progressivehouse
0.59,0.786,-2.437,0.0377,0.0,0.146,0.236,128.027,progressivehouse
0.507,0.785,-4.191,0.0435,0.0,0.218,0.121,128.054,progressivehouse
0.557,0.85,-5.612,0.0742,0.0,0.627,0.215,128.019,progressivehouse
0.569,0.825,-6.526,0.0973,1.49e-05,0.516,0.317,128.002,progressivehouse
0.567,0.822,-5.22,0.0315,0.491,0.695,0.574,128.042,progressivehouse
0.584,0.938,-4.209,0.0532,9.88e-06,0.314,0.233,127.978,progressivehouse
0.518,0.732,-4.831,0.0511,1.37e-06,0.104,0.356,127.94,progressivehouse
0.555,0.868,-3.208,0.0742,0.0,0.27,0.185,128.013,progressivehouse
0.619,0.805,-4.759,0.0452,0.0,0.236,0.354,128.039,progressivehouse
0.604,0.809,-8.586,0.0461,0.00634,0.776,0.474,128.013,progressivehouse
0.417,0.843,-4.72,0.0509,7.84e-06,0.275,0.445,127.945,progressivehouse
0.571,0.696,-5.096,0.0486,0.0,0.167,0.243,128.015,progressivehouse
0.539,0.835,-3.952,0.038,0.000396,0.142,0.486,130.041,progressivehouse
0.528,0.904,-4.024,0.165,0.0,0.0708,0.223,127.995,progressivehouse
0.591,0.762,-4.26,0.0515,0.0,0.0988,0.312,127.897,progressivehouse
0.666,0.74,-4.701,0.0384,0.000507,0.568,0.186,127.973,progressivehouse
0.569,0.791,-4.828,0.0439,0.0415,0.101,0.351,127.956,progressivehouse
0.82,0.705,-6.769,0.0531,0.0218,0.0523,0.799,127.983,progressivehouse
0.562,0.871,-4.058,0.0388,0.256,0.128,0.166,126.053,progressivehouse
0.534,0.711,-5.927,0.0368,0.0031,0.135,0.3,128.102,progressivehouse
0.581,0.838,-4.121,0.0463,0.00042,0.345,0.309,128.004,progressivehouse
0.56,0.806,-3.881,0.0455,0.0,0.656,0.21,127.938,progressivehouse
