,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,title
691,0.688,0.755,8,-6.872,1,0.0402,0.146,6.64e-06,0.412,0.147,128.029,audio_features,7drwZmGzK3iv6EeoKGXshm,spotify:track:7drwZmGzK3iv6EeoKGXshm,https://api.spotify.com/v1/tracks/7drwZmGzK3iv6EeoKGXshm,https://api.spotify.com/v1/audio-analysis/7drwZmGzK3iv6EeoKGXshm,215641,4,progressivehouse,Eternity
692,0.613,0.533,2,-6.574,1,0.0344,0.217,0.0,0.458,0.54,127.947,audio_features,4GhC0cVWvUJapjwLpd6QXN,spotify:track:4GhC0cVWvUJapjwLpd6QXN,https://api.spotify.com/v1/tracks/4GhC0cVWvUJapjwLpd6QXN,https://api.spotify.com/v1/audio-analysis/4GhC0cVWvUJapjwLpd6QXN,196847,4,progressivehouse,Everything
693,0.623,0.776,7,-4.551,1,0.0524,0.0243,0.0,0.112,0.389,127.995,audio_features,6XoolwpkV73EcfXP2Cy6aj,spotify:track:6XoolwpkV73EcfXP2Cy6aj,https://api.spotify.com/v1/tracks/6XoolwpkV73EcfXP2Cy6aj,https://api.spotify.com/v1/audio-analysis/6XoolwpkV73EcfXP2Cy6aj,193125,4,progressivehouse,Everything in the World - Radio Edit
694,0.587,0.837,0,-3.847,0,0.0434,0.0122,0.0,0.351,0.326,127.96,audio_features,63fyL7QZ1vhGZzZ9G56rcp,spotify:track:63fyL7QZ1vhGZzZ9G56rcp,https://api.spotify.com/v1/tracks/63fyL7QZ1vhGZzZ9G56rcp,https://api.spotify.com/v1/audio-analysis/63fyL7QZ1vhGZzZ9G56rcp,190160,4,progressivehouse,Hangover - Hardwell Remix Radio Edit
695,0.373,0.843,5,-4.766,0,0.106,0.0194,0.0,0.0423,0.172,128.134,audio_features,0vceMCqCxnHrz2xxbvMnlw,spotify:track:0vceMCqCxnHrz2xxbvMnlw,https://api.spotify.com/v1/tracks/0vceMCqCxnHrz2xxbvMnlw,https://api.spotify.com/v1/audio-analysis/0vceMCqCxnHrz2xxbvMnlw,209328,4,progressivehouse,Harder (feat. Talay Riley) - Maurice West Remix
696,0.543,0.867,3,-4.394,0,0.056,0.0151,0.00021,0.2,0.316,128.017,audio_features,0mrcOPl3VrRUw0toWRfYg6,spotify:track:0mrcOPl3VrRUw0toWRfYg6,https://api.spotify.com/v1/tracks/0mrcOPl3VrRUw0toWRfYg6,https://api.spotify.com/v1/audio-analysis/0mrcOPl3VrRUw0toWRfYg6,191242,4,progressivehouse,This Is Love
697,0.616,0.892,4,-4.688,0,0.0462,0.00214,0.000186,0.227,0.235,129.991,audio_features,3KFlDWBGVifduBPbuYRQmG,spotify:track:3KFlDWBGVifduBPbuYRQmG,https://api.spotify.com/v1/tracks/3KFlDWBGVifduBPbuYRQmG,https://api.spotify.com/v1/audio-analysis/3KFlDWBGVifduBPbuYRQmG,203769,4,progressivehouse,Bella Ciao
698,0.531,0.863,4,-3.647,1,0.0445,0.0457,0.0,0.196,0.407,128.125,audio_features,2pvYqK1TTAJNEEZNup5j7L,spotify:track:2pvYqK1TTAJNEEZNup5j7L,https://api.spotify.com/v1/tracks/2pvYqK1TTAJNEEZNup5j7L,https://api.spotify.com/v1/audio-analysis/2pvYqK1TTAJNEEZNup5j7L,157500,4,progressivehouse,Chasing The Light
699,0.43,0.692,5,-7.5,1,0.0382,0.0404,0.000692,0.159,0.223,127.761,audio_features,2eInlKQuv2NarQXpaNmXbV,spotify:track:2eInlKQuv2NarQXpaNmXbV,https://api.spotify.com/v1/tracks/2eInlKQuv2NarQXpaNmXbV,https://api.spotify.com/v1/audio-analysis/2eInlKQuv2NarQXpaNmXbV,187360,4,progressivehouse,Freeze Time vs Dare You [Mix Cut] - Hardwell Mashup
700,0.554,0.914,4,-4.397,0,0.0855,0.00524,8.07e-06,0.852,0.105,128.002,audio_features,5LBMduJ8OTeOEEwLjbJvJC,spotify:track:5LBMduJ8OTeOEEwLjbJvJC,https://api.spotify.com/v1/tracks/5LBMduJ8OTeOEEwLjbJvJC,https://api.spotify.com/v1/audio-analysis/5LBMduJ8OTeOEEwLjbJvJC,202500,4,progressivehouse,We Are One
